fips,state,name,pop2017,age_under_5_2017,age_over_65_2017,median_age_2017,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,hs_grad_2017,bachelors_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,unemployment_rate_2017
1121,Alabama,Talladega County,80065,5.4,16.5,40.6,16.07,0.18,0.29,0.01,0.46,0.85,2.21,63.12,80.5,13.6,39219,19.3,31.4,28.7,10.2,4.96
1123,Alabama,Tallapoosa County,40681,5.4,19.9,43.3,13.76,0.22,0.2,0,0.53,0.39,2.38,68.9,80.8,18.2,42181,21.2,39.3,35.7,9.4,4.16
1125,Alabama,Tuscaloosa County,207811,6,12.1,32.3,15.65,0.08,0.77,0.02,0.56,0.58,3.49,62.4,88.2,30.2,50513,17.3,23.4,21.3,8.6,4.14
1127,Alabama,Walker County,64058,6.2,18.3,42.3,3.05,0.08,0.24,0,0.12,0.91,2.36,89.39,80,11.1,38872,21.5,41,31.2,11.6,5.02
1129,Alabama,Washington County,16531,3.6,17.3,43.5,12.3,3.79,0.47,0,0.02,0.65,0.48,65.13,82.4,10.7,42185,22,56.5,34,9.5,6.84
1131,Alabama,Wilcox County,10719,5,17.8,40.5,36.06,0.03,0,0,0.24,0.23,0.48,26.9,79.1,12,27012,31.9,46.4,41.7,14.9,11.4
1133,Alabama,Winston County,23722,5,20.6,44.6,0.26,0.14,0.15,0.04,0.26,0.89,2.99,94.11,77.2,12.9,35362,18.7,27.2,28,11.7,5
2013,Alaska,Aleutians East Borough,3370,2.9,8.2,42.7,2.62,19.07,13.09,0.69,2.83,3.1,9.71,15.46,85.8,11.5,66607,16.7,28.7,19.1,48.2,2.52
2016,Alaska,Aleutians West Census Area,5763,4.3,5.5,37.7,2.55,5.88,19.13,1.3,2.58,3.67,13.49,24.81,88.3,16.2,85192,7.5,13.4,8.4,21.2,3.63
2020,Alaska,Anchorage Municipality,294356,7.4,9.4,33.1,2.74,3.64,4.66,1.19,1.09,4.86,8.86,59.19,93.4,34.6,82271,8.1,9.8,11.1,13.2,5.97
2050,Alaska,Bethel Census Area,18076,10.5,7.1,26.9,0.33,41.34,0.46,0.01,0.26,2.12,2.19,10.17,80.2,12.6,53853,27,34.3,32.7,23.4,13.79
2060,Alaska,Bristol Bay Borough,867,5.2,9.7,41.8,0.22,17.28,0.71,0.16,1.15,4.47,4.47,50.27,92.6,20.3,79500,7.1,17.4,10.3,20.1,6.34
2068,Alaska,Denali Borough,2074,3.5,7.6,38.4,0.09,1.09,2.37,0,0.11,4.84,0.74,82.72,98.7,44.5,83295,15.5,5.8,4.8,20.8,9.38
2070,Alaska,Dillingham Census Area,4932,9.8,8.1,30.1,0.22,36.46,0.75,0,0.37,3.47,3.12,16.24,86.4,17.4,58708,16.6,26.3,23.3,23.9,9.29
2090,Alaska,Fairbanks North Star Borough,99703,7.8,8.7,31,2.12,3.42,1.57,0.27,0.51,4.03,7.71,71.08,94.6,33.1,76250,7.7,11.2,9.7,10.2,6.29
2100,Alaska,Haines Borough,2526,6.5,22.5,45,0.02,3.82,1.97,0.1,0.73,3.29,2.8,78.95,96.6,34.7,70640,8.4,7,20.5,19.4,9.09
2105,Alaska,Hoonah Angoon Census Area,NA,5.3,19,48.9,1.44,19.55,1.35,0.05,0.56,4.17,5.45,43.57,90.3,21.9,57900,11.1,42.9,24,25.8,12.63
2110,Alaska,Juneau City and Borough,32094,5.9,11.3,38,0.53,5.57,3.67,0.48,0.65,4.63,6.37,65.41,96,40.3,90749,7.4,22.5,11.8,11.6,4.75
2122,Alaska,Kenai Peninsula Borough,58617,6.3,14.8,40.6,0.27,3.65,0.74,0.16,0.37,3,3.96,80.99,92.6,24.1,65279,11,15.2,14,18.2,8.49
2130,Alaska,Ketchikan Gateway Borough,13856,6.2,13.5,39.5,0.27,7.06,4.01,0.02,0.33,4.71,4.77,64.42,91.9,24.1,67321,10.6,19.5,16,14.1,6.31
2150,Alaska,Kodiak Island Borough,13448,8,8.8,33.1,0.1,6.63,11.07,0.57,1.19,3.58,8.85,50.11,88.5,24.1,74167,9.3,20.4,12,22,5.1
2158,Alaska,Kusilvak Census Area,8202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2164,Alaska,Lake and Peninsula Borough,1620,6.7,7.5,32.3,0.35,33.78,1.08,0.12,0.08,3.38,1.54,21.75,87.7,16,45208,16.5,23,17.3,32.3,11.89
2170,Alaska,Matanuska-Susitna Borough,106532,7.3,10.1,34.9,0.56,2.57,0.65,0.1,0.29,4.24,4.61,79.92,92.1,20.6,74887,9.8,11.7,10.9,16.3,8.66
2180,Alaska,Nome Census Area,9921,9.9,7.3,27.9,0.38,36.77,0.71,0.15,0.06,3.75,2.37,14.85,84.9,14,53821,24.9,33.5,29.7,26.1,12.57
2185,Alaska,North Slope Borough,9782,7.6,6.1,34.6,0.33,26.05,2.9,0.95,0.72,3.11,4.11,31.28,88.4,15.3,77266,10.2,16.7,15.6,22.3,7.44
2188,Alaska,Northwest Arctic Borough,7684,10.3,7.2,26.6,0.38,40.9,0.44,0.01,0.52,1.92,2.54,11.1,80.7,10.8,61533,25.3,36.6,32.1,31.5,16.82
2195,Alaska,Petersburg Borough,3281,6.7,16.7,41.7,0.29,3.59,3.39,0.55,0.23,3.86,10.56,67.15,89.5,26.5,63490,7.8,12,8.1,12.7,9.34
2198,Alaska,Prince of Wales-Hyder Census Area,6443,6,13.8,41,0.08,20.33,0.57,0.31,0.12,5.08,3.68,45.28,90,16.8,52114,16,34.6,23.6,27.9,11.42
2220,Alaska,Sitka City and Borough,8689,5.1,13.9,38.9,0.48,7.16,3.45,0.21,0.3,5.98,6.3,62.41,93.5,32.9,70765,9.2,10.7,10.2,17.9,4.68
2230,Alaska,Skagway,NA,3.9,11.3,42.9,0.43,3.32,2.02,0,0.34,2.5,6.84,78.61,92.4,32.2,70673,5.6,2.8,3.9,21.5,10.56
2240,Alaska,Southeast Fairbanks Census Area,6888,7.2,12.2,36.6,0.86,5.76,0.96,0.02,0.4,2.95,5.17,74.93,91.5,19.5,63866,13.9,26.1,19.2,17.7,10.44
2261,Alaska,Valdez-Cordova Census Area,9278,5.8,11.8,40,0.07,7.11,1.41,0.31,0.29,4.22,4.8,70.22,95.9,32.7,86019,7.4,7.1,5.6,16.6,7.96
2275,Alaska,Wrangell,NA,4.6,22.4,49.1,0.08,11.07,1.56,0,0.02,4.3,3.15,64.44,89,19.4,56094,11.7,24.8,18.1,15.1,7.71
2282,Alaska,Yakutat City and Borough,605,7,13.9,39.4,0.44,14.52,2.71,0.66,0.51,8.14,5.57,43.7,91.9,19.6,64583,6.2,14.6,10.1,20.1,9.36
2290,Alaska,Yukon-Koyukuk Census Area,5365,7.9,12.6,34.7,0.05,35.48,0.37,0,0.06,2.77,2.15,21.35,84.7,12.4,37819,25.5,43.1,32.3,32.3,18.26
4001,Arizona,Apache County,71606,7.2,13.8,34.2,0.25,36.65,0.17,0.04,0.35,1.13,6.11,18.45,78.6,11.5,32360,35.9,50,45.1,22.9,10.42
4003,Arizona,Cochise County,124756,6.1,20.4,40.5,1.89,0.61,0.91,0.2,1.91,2.27,35,55.65,87.1,23.6,47847,18.1,28.7,25.7,9,5.61
4005,Arizona,Coconino County,140776,5.8,11.1,30.6,0.72,13.29,0.93,0.07,1.41,1.79,13.9,54.29,89.7,35.4,53523,21,26.1,22.9,13.7,5.55
4007,Arizona,Gila County,53501,5.7,27,49.3,0.28,7.92,0.44,0,1.15,1.44,18.65,62.77,85,19,41179,21.9,42.3,35.7,12.4,6.06
4009,Arizona,Graham County,37466,7.5,12.9,33.1,0.99,6.6,0.37,0.08,1.16,1.3,32.53,51.17,85.8,14.1,48173,21.4,31.5,28.3,8.8,5.44
4011,Arizona,Greenlee County,9455,7.4,11.8,33.4,1.02,2.02,0.18,0,1.04,0.2,46.41,47.58,89.7,12.1,56298,11.5,23.2,15.7,7.6,5.11
4012,Arizona,La Paz County,20601,4.6,37.3,56,0.43,6.37,0.4,0.11,3.48,1.54,26.29,58.73,77.2,11.2,36479,19.7,44.8,37.9,12.3,5.38
4013,Arizona,Maricopa County,4307033,6.7,14.1,36,2.68,0.95,1.97,0.11,3.56,1.73,30.6,56.31,87.1,31.4,58580,15.7,24.6,22.2,12.3,4.17
4015,Arizona,Mohave County,207200,4.5,28,50.4,0.54,1.18,0.62,0.07,1.26,1.13,15.92,78.02,84.7,12.3,41567,18.6,30.1,27,12.3,5.86
4017,Arizona,Navajo County,108956,7.4,16.3,35.9,0.41,22.08,0.31,0.06,1.63,1.59,11.17,41.64,82.6,15.5,38798,29.1,44.1,38.5,15.1,7.57
4019,Arizona,Pima County,1022769,5.9,18.1,38.2,1.73,1.73,1.39,0.08,4.39,2.24,36.6,52.62,88.2,31.6,48676,18.3,28.6,25.3,11,4.48
4021,Arizona,Pinal County,430237,6.1,18.6,38.5,2.25,2.51,0.86,0.18,2.19,1.79,29.61,57.44,85.2,18.6,52628,15.5,25.1,21.4,10.3,5.02
4023,Arizona,Santa Cruz County,46212,7.1,16.3,36.6,0.25,0.23,0.43,0,5.46,0.53,83.38,15.04,75.4,22.1,39630,21.8,36.5,29.3,12.6,9.51
4025,Arizona,Yavapai County,228168,4.3,28.9,52.2,0.26,0.85,0.48,0.02,1.28,1.12,14.26,80.9,90.2,25,48259,14.7,23.5,19.6,11.3,4.5
4027,Arizona,Yuma County,207534,7.4,17.6,34.1,1.04,0.64,0.65,0.03,9.82,1.26,62.89,31.82,71.6,14.3,43253,19.7,26.8,27.9,15.1,17.05
5001,Arkansas,Arkansas County,17967,6.5,18.1,40.9,13.22,0.01,0.01,0,0.13,0.53,2.96,70.15,82.6,14.1,38532,20.7,39,27.9,8.4,3.26
5003,Arkansas,Ashley County,20283,5.4,18.7,41.8,12.78,0.12,0,0,0.7,0.44,5.21,68.01,83,13.4,36407,21.3,30.7,32.1,11.1,5.73
5005,Arkansas,Baxter County,41355,4.3,30.5,51.8,0.09,0.25,0.19,0.01,0.53,0.73,2.14,95.1,87.3,18.4,40072,12.6,29.7,16.6,7.6,4.23
5007,Arkansas,Benton County,266300,7.2,13,35.2,0.82,0.74,1.85,0.23,0.91,1.37,16.27,74.22,87.5,31.7,61271,10.5,16.1,14.1,10.3,2.9
5009,Arkansas,Boone County,37381,6.1,19.8,42.2,0.19,0.53,0.25,0.04,0.02,0.8,2.33,94.24,85.2,16.2,40727,15.8,36.4,22.8,8.9,3.43
5011,Arkansas,Bradley County,10864,6.3,18.4,40.6,14.64,0.83,0,0,3.23,0.14,14.78,55.88,81.4,14.4,36310,26.4,36.4,42,13.4,4.68
5013,Arkansas,Calhoun County,5247,5.7,21,45.2,11.13,0.07,0.11,0.1,0.1,0.47,3.91,72.6,84.2,12.3,37225,19.6,37.5,34.3,10.3,3.94
5015,Arkansas,Carroll County,27944,5.5,21.5,44.6,0.67,0.36,0.52,0.32,0.7,1.09,14.76,80.6,85.7,19.3,39686,15.7,29.8,23.1,13.2,3.29
5017,Arkansas,Chicot County,10636,6.2,19.2,43.3,27.08,0.2,0.25,0,0.55,0.33,5.19,39.14,80.2,13.2,32412,29.4,52.8,40.5,11.5,6.53
5019,Arkansas,Clark County,22293,5.2,15.6,33.8,11.93,0.16,0.35,0,0.82,0.76,4.6,69.08,88.2,26.4,37144,21.5,38.3,27.9,9.1,3.98
5021,Arkansas,Clay County,14920,5.7,20.9,43.4,0.34,0.25,0,0,0.66,0.62,1.9,95.77,78.5,10.7,32219,22.3,31.5,31.8,9.4,4.55
5023,Arkansas,Cleburne County,25048,4.8,26,48.9,0.3,0.36,0.4,0,0.1,0.32,2.46,94.82,84.4,15.9,42312,15.4,25.1,23.3,11.4,4.9
5025,Arkansas,Cleveland County,8202,4.9,19.5,42.6,5.51,0.19,0.05,0,0,1.06,1.78,84.7,87.3,17,44840,19.3,40.5,31.2,7.5,4.37
5027,Arkansas,Columbia County,23627,6,16.6,36.2,17.48,0.15,0.55,0,1.13,0.36,2.54,59.36,84.8,21.5,37072,25.1,28.8,34.6,9.8,5.05
5029,Arkansas,Conway County,20916,5.9,18.5,41.2,5.59,0.17,0.05,0,0.09,1.51,3.8,81.79,85.2,15.8,39638,18.5,31.6,27.3,8.9,4.73
5031,Arkansas,Craighead County,107115,7,13.1,34,6.7,0.28,0.57,0.07,0.95,1.47,4.89,77.34,88.3,26.5,45672,18.3,30.6,24.9,10.8,2.98
5033,Arkansas,Crawford County,62996,6.2,15.6,38.7,0.67,0.99,0.92,0,1,1.61,7.3,85.05,85.9,14.5,43504,16.6,20.4,23.7,10.8,3.54
5035,Arkansas,Crittenden County,48750,7.7,12.8,35,24.52,0.14,0.33,0.06,0.19,2.33,2.39,43.18,81.4,16.9,38558,23.5,45.4,36.8,10.2,4.29
5037,Arkansas,Cross County,16863,6.2,17.6,40.7,11.4,0.02,0.03,0,0.17,1.19,1.89,72.96,80.4,13.8,41081,18,32,27.4,8.4,3.97
5039,Arkansas,Dallas County,7393,4.8,20.6,43.7,20.17,0.21,0.82,0.12,0.44,0.76,3.07,53.22,83.1,14.1,35794,13.2,17.4,17.4,10.7,4.51
5041,Arkansas,Desha County,11764,6.7,17.6,40.2,23.75,0.11,0.07,0,1.25,0.53,5.79,45.73,77.4,12.6,27036,32.6,47.9,48.4,10.1,4.8
5043,Arkansas,Drew County,18547,6.1,16.4,36.5,14.39,0.05,0.08,0,0.62,0.48,3.07,66.93,83.2,18.5,36092,24.4,41.1,29.3,8.6,5.16
5045,Arkansas,Faulkner County,123654,6.3,11.5,32.3,5.71,0.18,0.64,0.07,1,1.13,4,80.64,91.2,29.7,50316,16.3,23.7,15.9,10.8,3.32
5047,Arkansas,Franklin County,17890,5.5,18.7,41.4,0.49,1.01,0.24,0.07,0.16,0.78,2.88,92.42,80.9,11.3,39472,21.9,31.6,31.6,8.2,3.47
5049,Arkansas,Fulton County,12055,4.8,25,48.1,0.17,0.43,0.02,0.03,0.19,0.92,1.31,95.56,84.5,12.1,36051,23,41.9,38.3,10.1,4.21
5051,Arkansas,Garland County,98658,5.4,22.6,44.7,4.08,0.39,0.25,0,1.22,1.22,5.37,82.58,88.2,20.1,41672,19.1,40.4,28.6,13.1,4.01
5053,Arkansas,Grant County,18165,5.6,17,39.9,1.47,0.11,0.02,0.01,0.02,0.79,2.48,93.01,90.1,19,49968,14.4,19.7,17.7,6.9,3.19
5055,Arkansas,Greene County,45053,6.3,15.3,37.7,0.52,0.18,0.15,0.05,0.39,0.87,2.72,93.87,86.6,16.1,45566,15.9,27.9,22.2,9,3.65
5057,Arkansas,Hempstead County,21861,7.4,17.1,38.9,14.81,0.13,0.04,0.18,3.8,1.24,12.48,55.19,80.1,13.1,38701,25.3,49.2,37.4,10.3,3.46
5059,Arkansas,Hot Spring County,33574,5.1,18,41.7,5.47,0.15,0.14,0,0.6,1.19,3.37,82.8,85.6,13.8,40626,15.8,21,19.2,11,3.69
5061,Arkansas,Howard County,13478,6.4,17,38.5,10.43,0.12,0.09,0,5.1,0.92,11.98,64.96,81.3,15.3,34851,21,39,36,11.8,3.04
5063,Arkansas,Independence County,37504,6.4,16.9,39.8,1.02,0.13,0.35,0.01,1.3,1.1,6.09,89.16,85.1,18,39945,18.5,31.2,27.6,11.4,4.22
5065,Arkansas,Izard County,13686,4.7,24.8,48,0.95,0.73,0.09,0,0.13,0.66,2.1,93.53,82.9,12.9,39135,17.7,48.1,28.5,8.2,5.46
5067,Arkansas,Jackson County,17135,5.7,16.3,40.5,8.51,0.09,0.02,0,0.24,1.41,2.73,77.23,77.4,9.2,32783,25.1,51.4,42.1,11.8,5.85
5069,Arkansas,Jefferson County,69115,6,15.9,39,28.18,0.12,0.38,0,0.48,0.57,1.98,39.59,85.3,16.8,37630,24.7,46.8,39,9,5.18
5071,Arkansas,Johnson County,26552,6.7,15.8,37.8,0.9,0.12,0.82,0.05,0.91,1.24,13.72,80.35,79.5,15.7,35758,22.5,37.4,30.9,11,4.24
5073,Arkansas,Lafayette County,6862,4.9,22.3,45.8,18.95,0.14,0.19,0,0.27,0.43,1.16,59.28,80.7,15,32500,23.8,44.4,32.1,12.1,5.08
5075,Arkansas,Lawrence County,16525,5.5,19.3,42,0.47,0.26,0.04,0.01,0.07,0.68,1.32,95.77,84,15.5,37603,18.4,20.4,20.9,9.7,3.77
5077,Arkansas,Lee County,9176,5.2,17.8,41.9,28.45,0.11,0.05,0,0,0.42,1.38,40.68,70,8.4,27901,27.3,47.4,35.2,11.3,4.84
5079,Arkansas,Lincoln County,13646,4.3,14.3,38.6,15.69,0.21,0,0,0.61,0.17,3.59,64.55,80.3,7.9,38873,17.9,21,21.8,9.5,4.19
5081,Arkansas,Little River County,12359,5.1,19.9,42.5,10.24,0.66,0,0,1.35,0.84,3.31,73.2,85.1,10.3,36963,18.8,17.1,24.5,11.1,4.79
