Vaccine,Geography Type,Geography,FIPS,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Pneumococcal,States/Local Areas,Kansas,20,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",16.9,8.5 to 25.3,90
Pneumococcal,States/Local Areas,Kentucky,21,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.2,10.5 to 31.9,88
Pneumococcal,States/Local Areas,Louisiana,22,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.8,19.3 to 30.2,392
Pneumococcal,States/Local Areas,Maine,23,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,2
Pneumococcal,States/Local Areas,Maryland,24,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.8,23.6 to 36.0,434
Pneumococcal,States/Local Areas,Massachusetts,25,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.3,20.9 to 43.7,291
Pneumococcal,States/Local Areas,Michigan,26,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.1,21.9 to 34.3,437
Pneumococcal,States/Local Areas,Minnesota,27,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.6,16.9 to 56.3,37
Pneumococcal,States/Local Areas,Mississippi,28,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.4,17.4 to 25.4,691
Pneumococcal,States/Local Areas,Missouri,29,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.4,14.6 to 32.1,149
Pneumococcal,States/Local Areas,Montana,30,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,4
Pneumococcal,States/Local Areas,Nebraska,31,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,31
Pneumococcal,States/Local Areas,Nevada,32,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,27
Pneumococcal,States/Local Areas,New Hampshire,33,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,2
Pneumococcal,States/Local Areas,New Jersey,34,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.6,17.2 to 30.0,312
Pneumococcal,States/Local Areas,New Mexico,35,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,13
Pneumococcal,States/Local Areas,New York,36,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.9,20.4 to 39.5,164
Pneumococcal,States/Local Areas,NY-City of New York,131,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.3,11.4 to 37.2,91
Pneumococcal,States/Local Areas,NY-Rest of state,132,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",38.5,23.9 to 53.0,71
Pneumococcal,States/Local Areas,North Carolina,37,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.9,15.8 to 24.0,646
Pneumococcal,States/Local Areas,North Dakota,38,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,3
Pneumococcal,States/Local Areas,Ohio,39,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.4,15.7 to 27.0,322
Pneumococcal,States/Local Areas,Oklahoma,40,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.7,13.9 to 29.6,172
Pneumococcal,States/Local Areas,Oregon,41,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,Pennsylvania,42,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.7,21.3 to 42.1,488
Pneumococcal,States/Local Areas,PA-Philadelphia,141,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.0,15.7 to 40.4,376
Pneumococcal,States/Local Areas,PA-Rest of state,142,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.3,16.3 to 44.3,99
Pneumococcal,HHS Regions/National,United States,100,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.7,23.8 to 27.6,9245
Pneumococcal,HHS Regions/National,Region 1,101,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.2,19.0 to 35.5,450
Pneumococcal,HHS Regions/National,Region 2,102,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.1,21.0 to 35.3,476
Pneumococcal,HHS Regions/National,Region 3,103,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.5,25.6 to 35.5,1769
Pneumococcal,HHS Regions/National,Region 4,104,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.8,20.8 to 26.9,3458
Pneumococcal,HHS Regions/National,Region 5,105,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.5,21.4 to 29.7,1379
Pneumococcal,HHS Regions/National,Region 6,106,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.0,19.0 to 31.0,1035
Pneumococcal,HHS Regions/National,Region 7,107,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.6,15.2 to 28.0,304
Pneumococcal,HHS Regions/National,Region 8,108,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.8,13.8 to 41.9,91
Pneumococcal,HHS Regions/National,Region 9,109,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.8,17.6 to 34.0,197
Pneumococcal,States/Local Areas,Rhode Island,44,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,46
Pneumococcal,States/Local Areas,South Carolina,45,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.5,21.2 to 33.8,723
Pneumococcal,States/Local Areas,South Dakota,46,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,3
Pneumococcal,States/Local Areas,Tennessee,47,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",22.4,13.9 to 30.9,172
Pneumococcal,States/Local Areas,Texas,48,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.3,16.2 to 36.3,223
Pneumococcal,States/Local Areas,TX-Bexar County,151,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,TX-City of Houston,152,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.8,13.3 to 42.4,59
Pneumococcal,States/Local Areas,TX-El Paso County,153,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,2
Pneumococcal,States/Local Areas,TX-Harris County,1521,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.8,13.3 to 42.4,59
Pneumococcal,States/Local Areas,TX-Rest of state,154,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.7,12.4 to 41.1,147
Pneumococcal,HHS Regions/National,Region 10,110,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.2,19.0 to 45.5,86
Pneumococcal,States/Local Areas,Utah,49,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,5
Pneumococcal,States/Local Areas,Vermont,50,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,5
Pneumococcal,States/Local Areas,Virginia,51,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",34.2,21.0 to 47.3,194
Pneumococcal,States/Local Areas,Washington,53,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",37.7,21.2 to 54.2,62
Pneumococcal,States/Local Areas,West Virginia,54,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,28
Pneumococcal,States/Local Areas,Wisconsin,55,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.9,15.6 to 40.2,208
Pneumococcal,States/Local Areas,Wyoming,56,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,Alabama,01,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.4,20.7 to 34.0,533
Pneumococcal,States/Local Areas,Alaska,02,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,11
Pneumococcal,States/Local Areas,Arizona,04,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,17
Pneumococcal,States/Local Areas,Arkansas,05,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.3,11.5 to 31.0,155
Pneumococcal,States/Local Areas,California,06,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",34.3,20.9 to 47.7,159
Pneumococcal,States/Local Areas,Colorado,08,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,47
Pneumococcal,States/Local Areas,Connecticut,09,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,118
Pneumococcal,States/Local Areas,Delaware,10,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",38.6,26.8 to 50.4,150
Pneumococcal,States/Local Areas,District of Columbia,11,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.5,21.3 to 31.7,441
Pneumococcal,States/Local Areas,Florida,12,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",20.0,13.0 to 27.1,246
Pneumococcal,States/Local Areas,Georgia,13,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",20.4,14.7 to 26.1,334
Pneumococcal,States/Local Areas,Hawaii,15,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,12
Pneumococcal,States/Local Areas,Idaho,16,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,3
Pneumococcal,States/Local Areas,Illinois,17,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.5,17.2 to 35.7,166
Pneumococcal,States/Local Areas,IL-City of Chicago,171,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.9,16.2 to 35.6,122
Pneumococcal,States/Local Areas,IL-Cook County,1711,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.9,16.2 to 35.6,122
Pneumococcal,States/Local Areas,IL-Rest of state,172,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,43
Pneumococcal,States/Local Areas,Indiana,18,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.5,16.0 to 30.9,393
Pneumococcal,States/Local Areas,Iowa,19,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,32
Pneumococcal,States/Local Areas,Kansas,20,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.5,22.4 to 40.6,226
Pneumococcal,States/Local Areas,Kentucky,21,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.4,14.6 to 42.3,378
Pneumococcal,States/Local Areas,Louisiana,22,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.6,20.5 to 30.7,612
Pneumococcal,States/Local Areas,Maine,23,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,4
Pneumococcal,States/Local Areas,Maryland,24,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.6,19.7 to 31.5,373
Pneumococcal,States/Local Areas,Massachusetts,25,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.4,21.6 to 43.3,245
Pneumococcal,States/Local Areas,Michigan,26,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.6,18.5 to 30.8,450
Pneumococcal,States/Local Areas,Minnesota,27,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,38
Pneumococcal,States/Local Areas,Mississippi,28,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.9,20.0 to 27.8,982
Pneumococcal,States/Local Areas,Missouri,29,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.8,19.6 to 40.1,144
Pneumococcal,States/Local Areas,Montana,30,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,0
Pneumococcal,States/Local Areas,Nebraska,31,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,24
Pneumococcal,States/Local Areas,Nevada,32,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,25
Pneumococcal,States/Local Areas,New Hampshire,33,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,5
Pneumococcal,States/Local Areas,New Jersey,34,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.5,14.0 to 25.1,348
Pneumococcal,States/Local Areas,New Mexico,35,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,24
Pneumococcal,States/Local Areas,New York,36,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.5,12.4 to 26.6,142
Pneumococcal,States/Local Areas,NY-City of New York,131,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",17.2,8.2 to 26.2,85
Pneumococcal,States/Local Areas,NY-Rest of state,132,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.7,11.9 to 35.5,55
Pneumococcal,States/Local Areas,North Carolina,37,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.3,23.1 to 37.5,519
Pneumococcal,States/Local Areas,North Dakota,38,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,3
Pneumococcal,States/Local Areas,Ohio,39,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.1,18.1 to 30.0,251
Pneumococcal,States/Local Areas,Oklahoma,40,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.8,18.6 to 37.0,168
Pneumococcal,States/Local Areas,Oregon,41,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,6
Pneumococcal,States/Local Areas,Pennsylvania,42,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",22.3,13.9 to 30.7,139
Pneumococcal,States/Local Areas,PA-Philadelphia,141,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,62
Pneumococcal,States/Local Areas,PA-Rest of state,142,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.3,14.7 to 41.8,74
Pneumococcal,HHS Regions/National,United States,100,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.2,23.3 to 27.0,9522
Pneumococcal,HHS Regions/National,Region 1,101,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.1,19.1 to 35.0,434
Pneumococcal,HHS Regions/National,Region 2,102,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.5,14.3 to 24.7,490
Pneumococcal,HHS Regions/National,Region 3,103,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.4,19.2 to 27.5,1314
Pneumococcal,HHS Regions/National,Region 4,104,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.3,21.5 to 27.0,3961
Pneumococcal,HHS Regions/National,Region 5,105,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.9,20.6 to 29.2,1365
Pneumococcal,HHS Regions/National,Region 6,106,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.4,23.1 to 35.6,1166
Pneumococcal,HHS Regions/National,Region 7,107,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.4,21.5 to 37.2,426
Pneumococcal,HHS Regions/National,Region 8,108,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,68
Pneumococcal,HHS Regions/National,Region 9,109,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",33.8,21.8 to 45.8,213
Pneumococcal,States/Local Areas,Rhode Island,44,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,54
Pneumococcal,States/Local Areas,South Carolina,45,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.1,20.3 to 31.8,772
Pneumococcal,States/Local Areas,South Dakota,46,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,3
Pneumococcal,States/Local Areas,Tennessee,47,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.9,14.0 to 35.9,197
Pneumococcal,States/Local Areas,Texas,48,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",33.1,21.6 to 44.5,207
Pneumococcal,States/Local Areas,TX-Bexar County,151,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,9
Pneumococcal,States/Local Areas,TX-City of Houston,152,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.1,11.0 to 37.2,66
Pneumococcal,States/Local Areas,TX-El Paso County,153,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,10
Pneumococcal,States/Local Areas,TX-Harris County,1521,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.1,11.0 to 37.2,66
Pneumococcal,States/Local Areas,TX-Rest of state,154,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",39.5,23.2 to 55.8,118
Pneumococcal,HHS Regions/National,Region 10,110,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",40.5,25.3 to 55.6,85
Pneumococcal,States/Local Areas,Utah,49,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,Vermont,50,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,Virginia,51,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.3,10.7 to 27.9,181
Pneumococcal,States/Local Areas,Washington,53,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",33.2,18.1 to 48.3,65
Pneumococcal,States/Local Areas,West Virginia,54,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,30
Pneumococcal,States/Local Areas,Wisconsin,55,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,67
Pneumococcal,States/Local Areas,Wyoming,56,2009,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,7
Pneumococcal,States/Local Areas,Alabama,01,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.0,18.6 to 29.4,564
Pneumococcal,States/Local Areas,Alaska,02,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,7
Pneumococcal,States/Local Areas,Arizona,04,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,17
Pneumococcal,States/Local Areas,Arkansas,05,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.8,21.5 to 44.1,158
Pneumococcal,States/Local Areas,California,06,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.4,21.4 to 39.5,160
Pneumococcal,States/Local Areas,Colorado,08,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,48
Pneumococcal,States/Local Areas,Connecticut,09,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.3,14.2 to 42.5,111
Pneumococcal,States/Local Areas,Delaware,10,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",37.6,26.4 to 48.7,146
Pneumococcal,States/Local Areas,District of Columbia,11,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",22.2,17.5 to 26.9,411
Pneumococcal,States/Local Areas,Florida,12,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.3,17.9 to 30.8,695
Pneumococcal,States/Local Areas,Georgia,13,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.0,20.7 to 33.4,333
Pneumococcal,States/Local Areas,Hawaii,15,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,11
Pneumococcal,States/Local Areas,Idaho,16,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,4
Pneumococcal,States/Local Areas,Illinois,17,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",34.6,25.4 to 43.8,258
Pneumococcal,States/Local Areas,IL-City of Chicago,171,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.2,27.0 to 45.4,231
Pneumococcal,States/Local Areas,IL-Cook County,1711,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.2,27.0 to 45.4,231
Pneumococcal,States/Local Areas,IL-Rest of state,172,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,27
Pneumococcal,States/Local Areas,Indiana,18,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.7,12.8 to 26.6,353
Pneumococcal,States/Local Areas,Iowa,19,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",53.2,32.1 to 74.3,30
Pneumococcal,States/Local Areas,Kansas,20,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.6,20.4 to 40.9,117
Pneumococcal,States/Local Areas,Kentucky,21,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",20.7,8.8 to 32.7,85
Pneumococcal,States/Local Areas,Louisiana,22,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.2,22.1 to 32.4,534
Pneumococcal,States/Local Areas,Maine,23,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,9
Pneumococcal,States/Local Areas,Maryland,24,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.8,23.0 to 34.5,441
Pneumococcal,States/Local Areas,Massachusetts,25,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.2,21.2 to 41.1,190
Pneumococcal,States/Local Areas,Michigan,26,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",37.7,29.8 to 45.6,421
Pneumococcal,States/Local Areas,Minnesota,27,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,52
Pneumococcal,States/Local Areas,Mississippi,28,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.1,18.8 to 27.4,828
Pneumococcal,States/Local Areas,Missouri,29,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.5,23.7 to 49.4,191
Pneumococcal,States/Local Areas,Montana,30,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,4
Pneumococcal,States/Local Areas,Nebraska,31,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,31
Pneumococcal,States/Local Areas,Nevada,32,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,30
Pneumococcal,States/Local Areas,New Hampshire,33,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,10
Pneumococcal,States/Local Areas,New Jersey,34,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.6,21.0 to 34.1,357
Pneumococcal,States/Local Areas,New Mexico,35,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,24
Pneumococcal,States/Local Areas,New York,36,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.4,20.6 to 36.2,196
Pneumococcal,States/Local Areas,NY-City of New York,131,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.5,17.7 to 35.4,125
Pneumococcal,States/Local Areas,NY-Rest of state,132,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",30.1,16.0 to 44.2,63
Pneumococcal,States/Local Areas,North Carolina,37,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.6,21.9 to 33.2,553
Pneumococcal,States/Local Areas,North Dakota,38,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,8
Pneumococcal,States/Local Areas,Ohio,39,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.1,24.0 to 38.3,303
Pneumococcal,States/Local Areas,Oklahoma,40,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.3,23.5 to 39.0,209
Pneumococcal,States/Local Areas,Oregon,41,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,9
Pneumococcal,States/Local Areas,Pennsylvania,42,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.1,27.1 to 45.2,250
Pneumococcal,States/Local Areas,PA-Philadelphia,141,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.5,22.2 to 42.8,148
Pneumococcal,States/Local Areas,PA-Rest of state,142,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",39.3,25.2 to 53.4,95
Pneumococcal,HHS Regions/National,United States,100,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.5,27.9 to 31.2,10021
Pneumococcal,HHS Regions/National,Region 1,101,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.3,23.7 to 38.8,375
Pneumococcal,HHS Regions/National,Region 2,102,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.1,22.5 to 33.7,553
Pneumococcal,HHS Regions/National,Region 3,103,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",31.5,27.4 to 35.6,1492
Pneumococcal,HHS Regions/National,Region 4,104,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.5,23.1 to 27.8,4006
Pneumococcal,HHS Regions/National,Region 5,105,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.5,28.0 to 37.0,1566
Pneumococcal,HHS Regions/National,Region 6,106,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",32.6,27.4 to 37.9,1281
Pneumococcal,HHS Regions/National,Region 7,107,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",36.1,26.2 to 45.9,369
Pneumococcal,HHS Regions/National,Region 8,108,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",21.9,9.9 to 33.8,84
Pneumococcal,HHS Regions/National,Region 9,109,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.9,21.1 to 36.8,218
Pneumococcal,States/Local Areas,Rhode Island,44,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,47
Pneumococcal,States/Local Areas,South Carolina,45,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",27.9,20.1 to 35.7,754
Pneumococcal,States/Local Areas,South Dakota,46,2010,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,5
