State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
District of Columbia,1289905,182771,223329,1048219,148526,1007524,174439,518165,73.4,492596,85.3,437130,61.9,418855,72.5,738405,493200,58300,0,31458,382633,633679,449,157706,243836,35310,278,157640,225666,35289,260,402381,73.4,492596,85.3,57,384125,66.5,518165,84526,96.8,74590,85.4,40067,32450,2630,46,200920,230036,1476830,518047,85,437078,71.7,157700,243796,35307,275,1048122,171893,211545,22452,5.1,22404,5.3,16187,21.7,11780,15.8,N/A,N/A,N/A,N/A
Dept of Defense,5536790,N/A,N/A,6147294,N/A,5838454,N/A,3341856,N/A,3174216,N/A,2602210,N/A,2469237,N/A,3431790,1906400,198600,0,267658,2135719,3728275,15642,851683,1516406,234070,51,851527,1383772,233887,51,2368622,N/A,3174216,N/A,0,2235830,0,3341856,255943,0,160161,0,55417,97268,7476,0,459323,0,0,3341658,0,2602137,0,851666,1516372,234048,51,6147032,0,0,511,0,509,0,14,0,6,0,N/A,N/A,N/A,N/A
Delaware,1632535,167652,211965,1275546,130991,1193166,154918,666545,68.5,624783,81.1,579053,59.5,543624,70.6,921255,642580,68700,0,51677,479301,743067,1501,210500,316841,51218,494,210377,281598,51162,487,528132,68.5,624783,81.1,54.2,492755,64,666545,189563,99.9,168052,89,68600,90051,9358,270,390010,206457,864205,666356,79.3,578999,68.9,210489,316807,51209,494,1275312,151858,194394,41092,7.1,41036,7.5,36821,21.9,29783,17.7,N/A,N/A,N/A,N/A
Florida,34671185,161428,201018,28045326,130579,26496030,153620,14736801,68.6,13894979,80.6,12735114,59.3,12049919,69.9,19401405,13407680,1862100,0,1231449,10289165,16422879,101833,4488874,6999682,1216293,30265,4487163,6317962,1214744,30050,11529499,68.6,13894979,80.6,53.7,10845802,62.9,14736801,4405853,98,3860188,85.8,1864131,1788694,203338,18224,9270360,206130,770927,14728609,78.8,12733340,68.1,4488162,6999421,1215496,30261,28036169,149958,185447,956892,7.5,955393,7.9,856014,22.2,687453,17.8,N/A,N/A,N/A,N/A
Federated States of Micronesia,88470,85360,109593,75240,72595,74014,91685,45806,44.2,45112,55.9,40226,38.8,39667,49.1,2970,74000,11500,0,11796,62188,1256,0,28277,685,11263,1,28272,154,11240,1,29007,44.2,45112,55.9,28,28471,35.3,45806,3565,20.3,3287,18.7,2235,7,1045,0,5864,33392,503787,45792,51.7,40217,45.4,28276,685,11255,1,75225,84991,99956,51,0.1,49,0.1,14,0.4,3,0.1,N/A,N/A,N/A,N/A
Georgia,15359675,144665,189309,11222786,105702,10522023,129685,5988571,56.4,5587778,68.9,5051114,47.6,4749699,58.5,8377875,6323500,658300,0,281149,4416950,6514391,10296,1961588,2806561,279672,3293,1960757,2506616,279239,3087,4775349,56.4,5587778,68.9,45,4474309,55.1,5988571,1344107,88.6,1184351,78.1,644704,509148,33168,1554,2776673,183043,1012530,5986216,66.6,5050554,56.2,1961530,2806173,279563,3288,11220020,124832,170889,285431,5.7,284795,6,235054,19.8,171616,14.5,N/A,N/A,N/A,N/A
Guam,247230,149142,191482,252443,152287,226387,175339,131575,79.4,117627,91.1,120247,72.5,108202,83.8,150150,76580,20500,0,10291,79243,162868,41,36921,73619,9707,0,36907,61594,9701,0,110573,79.4,117627,91.1,66.7,98534,76.3,131575,16464,58.6,15484,55.1,6298,8662,533,0,35117,125029,880229,131545,92.9,120234,84.9,36920,73608,9706,0,252401,178297,174644,7510,6.2,7507,6.9,5702,36.8,3392,21.9,N/A,N/A,N/A,N/A
Hawaii,2490360,175889,223150,1955032,138080,1829738,163954,1108150,78.3,1030768,92.4,841858,59.5,791972,71,1464900,924460,101000,0,51219,624186,1185613,94014,271569,500165,51992,18132,270962,451068,51827,18115,790045,78.3,1030768,92.4,55.8,740321,66.3,1108150,282176,99.9,233984,87.2,96545,126540,10029,1416,539230,200869,927688,1104327,91.2,840338,69.4,271519,498742,51956,18121,1950420,161044,205626,59134,7,59026,7.5,46738,20,34600,14.8,N/A,N/A,N/A,N/A
Iowa,4523245,143364,186278,3630583,115071,3406620,140292,1868635,59.2,1750798,72.1,1741874,55.2,1637428,67.4,2534145,1759200,229900,0,148592,1400805,2080805,381,672462,922670,146501,241,672266,818501,146421,240,1595996,59.2,1750798,72.1,50.6,1491623,61.4,1868635,515383,93.2,494366,89.4,259435,221923,13682,108,1097182,198422,818015,1868543,69.8,1741846,65.1,672455,922651,146499,241,3630525,135656,169012,140770,8.1,140595,8.6,120264,24.3,95753,19.4,N/A,N/A,N/A,N/A
Idaho,2384100,133409,178069,1670759,93492,1669528,124697,867779,48.6,865313,64.6,774512,43.3,772867,57.7,1324080,936020,124000,0,68299,659469,940663,2328,299174,406722,68046,570,299152,405127,68024,564,707010,48.6,865313,64.6,39.6,705387,52.7,867779,255452,87.9,239024,82.2,109911,117907,11307,243,540250,185864,820208,0,0,0,0,0,0,0,0,0,0,0,71687,9.3,71685,9.3,60735,25.4,47415,19.8,N/A,N/A,N/A,N/A
Indian Health Svc,2200095,105631,N/A,1704807,81851,1560186,N/A,922775,44.3,842993,N/A,766520,36.8,701898,N/A,1066215,1044880,89000,0,33470,829213,842012,112,367876,365305,33333,6,367570,301047,33275,6,733318,44.3,842993,N/A,35.2,668749,0,922775,158846,0,132413,0,74287,54965,3160,1,307647,0,0,922348,0,766335,0,367801,365216,33312,6,1704174,0,0,40464,5.3,40351,5.7,29637,22.4,16465,12.4,N/A,N/A,N/A,N/A
Illinois,18962345,149642,192434,15702797,123919,14537081,147525,8814692,69.6,8144300,82.7,6897110,54.4,6411242,65.1,10975125,7058620,928600,0,555835,5622724,9503745,20493,2405809,3939267,545456,6578,2399276,3462498,542995,6473,6354433,69.6,8144300,82.7,50.1,5871004,59.6,8814692,1979743,96.9,1613754,79,727702,812650,75725,3046,3754224,183739,928056,8788697,81.1,6882512,63.5,2405764,3924743,545427,6578,15661308,144506,174965,268282,3.9,267627,4.2,217507,13.5,164851,10.2,N/A,N/A,N/A,N/A
Indiana,8885460,131984,172057,7074028,105077,6656612,128898,3594059,53.4,3373573,65.3,3335846,49.6,3145141,60.9,5095320,3317440,472700,0,260240,2535098,4253566,25124,1188659,1883455,256290,7442,1188364,1693375,256039,7363,3082144,53.4,3373573,65.3,45.8,2891653,56,3594059,950651,87.6,917442,84.5,450158,436074,29404,3650,2076484,191250,818376,3593660,63,3335690,58.5,1188644,1883334,256270,7442,7073538,123988,155748,251242,7.5,250768,8,217378,23.7,171525,18.7,N/A,N/A,N/A,N/A
Kansas,4150585,142470,187549,3258212,111839,3031406,136978,1799279,61.8,1674837,75.7,1537120,52.8,1433537,64.8,2266125,1674260,210200,0,109839,1249404,1897385,1584,582752,845580,108293,495,582415,742498,108191,433,1429559,61.8,1674837,75.7,49.1,1326072,59.9,1799279,481016,99.9,407624,85.7,194872,196741,17503,221,921593,193821,872912,1799109,73.4,1537084,62.7,582744,845560,108285,495,3258033,132889,169294,102329,6.7,102100,7.1,85757,21,67754,16.6,N/A,N/A,N/A,N/A
Kentucky,6187985,138506,178596,5217763,116789,4908483,141667,2788558,62.4,2619005,75.6,2430217,54.4,2290651,66.1,3251745,2633840,302400,0,205055,2117929,2893308,1471,967514,1259301,202008,1394,967275,1120155,201881,1340,2229312,62.4,2619005,75.6,49.9,2089869,60.3,2788558,717979,95.7,639202,85.2,291046,309834,38483,707,1430588,190602,824445,2788120,73.3,2430141,63.8,967501,1259271,201977,1392,5216586,137056,162578,184902,7.6,184627,8.1,157197,24.6,120314,18.8,N/A,N/A,N/A,N/A
Louisiana,6067040,130508,170367,4779169,102804,4523436,127021,2485608,53.5,2343050,65.8,2197714,47.3,2084339,58.5,3213600,2587640,265800,0,163204,1945574,2668086,2305,888310,1152121,156331,952,887831,1039392,156172,944,2042416,53.5,2343050,65.8,43.9,1929196,54.2,2485608,650180,87.7,617660,83.4,296073,307127,22265,198,1385713,187000,818740,2485311,63.3,2197597,56,888288,1152049,156308,952,4778789,121805,154641,175869,8,175551,8.4,149301,24.2,113443,18.4,N/A,N/A,N/A,N/A
Massachusetts,11641560,168902,210148,10223552,148329,9490338,171315,5471378,79.4,5073410,91.6,4774540,69.3,4436326,80.1,6616020,4522040,503500,0,342274,3836686,6044195,397,1757714,2671571,345115,140,1752413,2339892,343898,123,4431744,79.4,5073410,91.6,64.3,4094733,73.9,5471378,1216125,99.9,1050340,89.8,473021,510201,69564,49,2386967,204131,995574,5454518,90.7,4762999,79.2,1757706,2660047,345106,140,10194901,169442,193486,297829,6.2,297346,6.7,246644,23.5,188257,17.9,N/A,N/A,N/A,N/A
Maryland,10594710,175244,224893,8365492,138371,7728419,164051,4380511,72.5,4042994,85.8,3975616,65.8,3680215,78.1,6163650,3951660,479400,0,303124,3017616,5032646,12106,1405867,2268780,297742,3227,1405388,1974200,297535,3092,3683084,72.5,4042994,85.8,60.9,3387856,71.9,4380511,939492,97.9,877029,91.4,414725,410342,53312,853,1937240,201923,1104310,4379860,84.8,3975396,77,1405829,2268637,297706,3224,8364853,162019,205209,276644,7,276090,7.5,226114,25.8,168903,19.3,N/A,N/A,N/A,N/A
Maine,2302770,171310,210228,1918386,142715,1803502,164648,1019103,75.8,959392,87.6,942331,70.1,888372,81.1,1228230,949340,125200,0,120432,750704,1045827,1423,355626,467537,118841,327,355565,413743,118768,296,824060,75.8,959392,87.6,61.3,770167,70.3,1019103,289999,99.9,269320,94.4,122348,123963,23069,145,590570,207025,807239,1018988,86,942295,79.5,355619,467528,118821,327,1918261,161887,194337,67983,7.2,67909,7.6,60528,22.5,49504,18.4,N/A,N/A,N/A,N/A
Marshall Islands,57140,97821,125591,41351,70791,40985,90083,23173,39.7,22922,50.4,20113,34.4,20072,44.1,2340,43500,11300,0,2142,38935,272,2,17964,15,2133,1,17934,13,2124,1,17988,39.7,22922,50.4,30.8,17956,39.5,23173,1316,13.3,1147,11.6,1048,0,99,0,2371,23957,577347,23148,46.4,20102,40.3,17956,15,2130,1,41317,82826,114546,8,0,8,0,3,0.3,0,0,N/A,N/A,N/A,N/A
Michigan,14305980,143248,182406,11179955,111947,10534495,134318,5765073,57.7,5426861,69.2,5308437,53.2,5007303,63.8,7731120,5857960,716900,0,376885,4252706,6548686,1678,2011512,2918145,377859,921,2010867,2617997,377581,858,4932401,57.7,5426861,69.2,49.4,4631512,59.1,5765073,1582048,89.6,1489555,84.4,743078,680900,67339,537,3279373,185758,810353,5764624,67.1,5308308,61.8,2011493,2918055,377841,919,11179432,130069,166445,441223,8.3,440629,8.8,370849,24.9,282334,19,N/A,N/A,N/A,N/A
Minnesota,8429420,149468,194384,7037080,124779,6527264,150520,3650845,64.7,3386185,78.1,3354220,59.5,3111013,71.7,4857180,3167540,404700,0,300174,2517563,4216746,2597,1181841,1870605,300966,808,1179725,1630078,300435,775,3055215,64.7,3386185,78.1,54.2,2812526,64.9,3650845,890656,96.8,839825,91.2,349902,442393,48908,208,1886574,204977,915861,3639658,76.2,3346114,70,1181829,1862532,300945,808,7017520,146869,176418,314316,9.4,313849,10.1,258214,30.7,204427,24.3,N/A,N/A,N/A,N/A
Missouri,8278295,134882,173664,6643626,108248,6252045,131157,3458360,56.3,3247162,68.1,3031195,49.4,2853854,59.9,4714515,3222480,341300,0,211338,2327667,4102413,2208,1066540,1751101,213060,494,1066153,1574480,212821,400,2819701,56.3,3247162,68.1,45.9,2642577,55.4,3458360,938193,88.3,849909,80,385791,428171,37989,167,1946082,183241,779473,3457942,66,3031121,57.9,1066528,1751063,213036,494,6643185,126882,158112,232667,7.7,232305,8.1,195210,23,151065,17.8,N/A,N/A,N/A,N/A
Northern Mariana Islands,86860,152702,196055,71884,126374,63139,142513,36200,63.6,31679,71.5,34661,60.9,30434,68.7,63300,20760,2800,0,806,9779,61299,0,4652,29200,809,0,4651,24974,809,0,33854,63.6,31679,71.5,59.5,29627,66.9,36200,2951,30.6,2893,30,469,2334,90,0,6395,66352,901224,36200,74.5,34661,71.4,4652,29200,809,0,71884,147983,178813,1871,5.4,1869,6.1,1351,46.7,649,22.4,N/A,N/A,N/A,N/A
Mississippi,4012065,134807,176156,2930172,98455,2758110,121099,1538491,51.7,1442572,63.3,1348618,45.3,1271590,55.8,2154705,1674760,182600,0,74683,1182727,1670827,1935,536124,737496,74532,466,535824,660872,74446,448,1274929,51.7,1442572,63.3,42.8,1197983,52.6,1538491,416497,85.6,387157,79.5,198185,173571,16860,222,854634,175600,824352,1538253,61,1348540,53.5,536113,737441,74520,466,2929878,116199,159119,94003,7,93772,7.4,81235,21,59973,15.5,N/A,N/A,N/A,N/A
Montana,1435885,134348,170900,1154941,108062,1091253,129882,601464,56.3,566932,67.5,533674,49.9,505257,60.1,749745,601240,84900,0,48726,477026,628137,1052,217911,267958,47499,306,217802,239699,47454,302,486673,56.3,566932,67.5,45.5,458295,54.5,601464,182499,88.4,168663,81.7,80845,78567,9357,165,378264,183235,695556,601317,65.5,533625,58.2,217892,267934,47493,306,1154737,125843,156483,49725,9.3,49636,9.8,41956,24.9,32863,19.5,N/A,N/A,N/A,N/A
North Carolina,15391890,146756,187996,12069570,115079,11305963,138090,6594225,62.9,6177226,75.4,5477118,52.2,5139561,62.8,8662110,6000880,728900,0,426651,4374882,7267290,747,1970345,3086976,419692,105,1967470,2753676,418312,103,5058336,62.9,6177226,75.4,48.2,4722152,57.7,6594225,1738340,99.3,1427582,81.5,683041,699496,47818,48,3328806,190099,878987,6585989,73.3,5472094,60.9,1970287,3082028,419674,105,12056280,134175,171297,259775,4.7,259501,5,210057,14.7,154909,10.9,N/A,N/A,N/A,N/A
North Dakota,997460,130890,171417,794806,104297,752080,129248,402197,52.8,380350,65.4,348646,45.8,330663,56.8,566760,388300,42400,0,33536,300899,460072,299,134068,184054,30521,3,133870,166402,30388,3,318203,52.8,380350,65.4,41.8,300351,51.6,402197,107700,89.9,93784,78.3,45517,44537,3942,0,226246,188782,832292,401576,63,348299,54.7,134063,183715,30518,3,793758,124561,156527,31111,8.9,31075,9.4,25444,27.1,19266,20.5,N/A,N/A,N/A,N/A
Nebraska,2742330,141766,188045,2287849,118271,2130310,146078,1172411,60.6,1089239,74.7,1082184,55.9,1008374,69.1,1598550,1019480,124300,0,80352,825578,1376997,4922,389444,611208,80223,1309,389287,537681,80149,1257,1002645,60.6,1089239,74.7,51.8,928904,63.7,1172411,290821,93.1,277223,88.7,134902,135495,6618,819,637360,203983,877664,1172121,72.5,1082090,66.9,389420,611158,80205,1307,2287464,141428,169551,88006,8.1,87846,8.7,72676,26.2,58484,21.1,N/A,N/A,N/A,N/A
New Hampshire,2266650,166701,205227,1878947,138187,1752177,158646,1004338,73.9,944524,85.5,851413,62.6,801854,72.6,1269450,866500,130700,0,94419,709593,1074872,63,325699,454939,70715,60,325447,405691,70660,56,780884,73.9,944524,85.5,57.4,731379,66.2,1004338,288133,99.9,225586,88.9,94771,116697,14401,30,507977,200098,892860,1003543,83.7,851188,71,325597,454841,70690,60,1877938,156682,189113,11562,1.4,11536,1.4,9544,4.2,6981,3.1,N/A,N/A,N/A,N/A
New Jersey,14738945,165938,212266,12058760,135763,11179862,161009,6603866,74.3,6127684,88.2,5857313,65.9,5444594,78.4,8403165,5635680,700100,0,451047,4528981,7078390,342,2134082,3264983,458060,188,2133483,2853164,457774,173,5401347,74.3,6127684,88.2,60.8,4988901,71.8,6603866,1435563,97.3,1289642,87.4,600546,605165,86608,52,2804592,190073,998888,6603007,86.7,5857101,76.9,2134047,3264869,457997,188,12057859,158273,193466,372958,6.4,372216,6.8,310554,24.1,220284,17.1,N/A,N/A,N/A,N/A
New Mexico,3143205,149903,193906,2941157,140267,2722133,167930,1584040,75.5,1458810,90,1374772,65.6,1268803,78.3,1697205,1294800,151200,0,100207,1191911,1642609,6430,545660,727147,100183,1782,545260,621749,100033,1761,1275389,75.5,1458810,90,60.8,1169559,72.2,1584040,388065,99.9,345923,91.6,166006,171225,21157,941,769529,203792,832403,1583711,88.6,1374675,76.9,545641,727082,100170,1782,2940802,164527,175850,124032,9,123817,9.8,98341,28.4,66354,19.2,N/A,N/A,N/A,N/A
Nevada,4257280,138216,178314,3564698,115731,3339619,139878,1931031,62.7,1804612,75.6,1614965,52.4,1519358,63.6,2522880,1523700,210700,0,155594,1234380,2174425,299,559567,901971,153389,38,559468,806507,153346,37,1461950,62.7,1804612,75.6,47.5,1366385,57.2,1931031,446285,90,389811,78.6,181858,185121,24443,22,890861,179619,858371,1930929,73.6,1614926,61.6,559563,901940,153385,38,3564642,135962,162380,92525,5.7,92422,6.1,78521,20.1,61285,15.7,N/A,N/A,N/A,N/A
